State Code,County Code,Latitude,Longitude,Date Local,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,AQI
13,245,33.4339,-82.0224,2000-02-29,NA,NA,Georgia,Richmond,Augusta,NA,NA,Parts per million,0.028698045999999998,NA,NA,14.333333333333334
13,247,33.588544999999996,-84.069608,2000-02-29,NA,NA,Georgia,Rockdale,Conyers,NA,NA,Parts per million,0.030972174796747968,NA,NA,4.5
48,251,32.353595,-97.436742,2000-05-10,NA,NA,Texas,Johnson,Cleburne,NA,NA,Parts per million,0.03206185593220339,NA,NA,30
48,257,32.564968,-96.31768699999999,2000-09-23,NA,NA,Texas,Kaufman,Kaufman,NA,NA,Parts per million,0.023078929999999998,NA,NA,12.666666666666666
13,261,31.954286,-84.08100999999999,2000-02-29,NA,NA,Georgia,Sumter,Leslie (RR name Leslie-DeSoto),NA,NA,Parts per million,0.039852085365853655,NA,NA,29
48,355,27.76534,-97.43426199999999,2000-01-01,NA,NA,Texas,Nueces,Corpus Christi,NA,NA,Parts per million,0.026827490437158468,Parts per billion,1.3282179008264463,13
48,367,32.868773,-97.905931,2000-08-03,NA,NA,Texas,Parker,Weatherford,NA,NA,Parts per million,0.036197165562913906,NA,NA,50
48,397,32.936523,-96.459211,2000-08-08,NA,NA,Texas,Rockwall,Rockwall,NA,NA,Parts per million,0.03204742465753425,NA,NA,12
48,469,28.836214,-97.00552499999999,2000-01-01,NA,NA,Texas,Victoria,Victoria,NA,NA,Parts per million,0.02511854820936639,NA,NA,27
29,510,38.542550999999996,-90.263711,2000-03-31,NA,NA,Missouri,St. Louis City,St. Louis,NA,NA,Parts per million,0.0285878716490658,NA,NA,39
51,650,37.000983,-76.39863299999999,2000-03-31,NA,NA,Virginia,Hampton City,Hampton,NA,NA,Parts per million,0.036938651162790694,NA,NA,20.5
51,800,36.90118,-76.43808,2000-03-31,NA,NA,Virginia,Suffolk City,Suffolk,NA,NA,Parts per million,0.0390911004784689,NA,NA,26
23,901,43.644804,-70.264215,2000-05-03,NA,NA,Maine,MOBILE MONITORS,Not in a city,NA,NA,Parts per million,0.035932006802721086,NA,NA,31
08,001,39.838119,-104.94984,2000-01-01,NA,NA,Colorado,Adams,Welby,NA,NA,NA,NA,Parts per billion,4.626569948458009,24.666666666666668
09,003,41.7425,-72.634444,2000-01-01,NA,NA,Connecticut,Hartford,East Hartford,NA,NA,NA,NA,Parts per billion,5.548618544307444,26.333333333333332
16,005,42.916388999999995,-112.515833,2000-01-01,NA,NA,Idaho,Bannock,Pocatello,NA,NA,NA,NA,Parts per billion,7.296428565174129,39
04,007,33.399135,-110.858896,2000-01-01,NA,NA,Arizona,Gila,Miami,NA,NA,NA,NA,Parts per billion,5.521581134698498,16.333333333333332
78,010,17.704974,-64.780146,2000-01-01,NA,NA,Virgin Islands,St Croix,Not in a city,NA,NA,NA,NA,Parts per billion,2.026718336338798,60
04,013,33.457969999999996,-112.04659,2000-01-01,NA,NA,Arizona,Maricopa,Phoenix,NA,NA,NA,NA,Parts per billion,3.294632292880362,31.666666666666668
13,015,34.103431,-84.91521999999999,2000-01-01,NA,NA,Georgia,Bartow,Not in a city,NA,NA,NA,NA,Parts per billion,2.35109995064884,17
23,017,44.543119999999995,-70.545343,2000-01-01,NA,NA,Maine,Oxford,Rumford (census name for Rumford Compact),NA,NA,NA,NA,Parts per billion,4.229167390801645,22.333333333333332
13,021,32.805264,-83.543493,2000-01-01,NA,NA,Georgia,Bibb,Macon,NA,NA,NA,NA,Parts per billion,3.2654326518450185,15.666666666666666
18,027,38.573253,-87.214613,2000-01-01,NA,NA,Indiana,Daviess,Not in a city,NA,NA,NA,NA,Parts per billion,5.580388626709206,40
06,029,35.356615,-119.062613,2000-11-01,NA,NA,California,Kern,Bakersfield,NA,NA,NA,NA,Parts per billion,10.25231321023421,21.333333333333332
08,031,39.751183999999995,-104.987625,2000-08-02,NA,NA,Colorado,Denver,Denver,NA,NA,NA,NA,Parts per billion,4.9392489337932455,19
01,033,34.690647,-87.821422,2000-01-01,NA,NA,Alabama,Colbert,Not in a city,NA,NA,NA,NA,Parts per billion,3.6030273566840627,19.666666666666668
39,035,41.477011,-81.682383,2000-01-01,NA,NA,Ohio,Cuyahoga,Cleveland,NA,NA,NA,NA,Parts per billion,4.3671028708398,47
06,037,34.17605,-118.31712,2000-01-01,NA,NA,California,Los Angeles,Burbank,NA,NA,NA,NA,Parts per billion,2.2505829173888734,16.333333333333332
